item_id,kind,grade,topic_id,generator_index,status,source
legacy:4N1:6,legacy_generator,4,4N1,6,live,hardcode
legacy:4N1:7,legacy_generator,4,4N1,7,quarantined,hardcode
legacy:4N1:8,legacy_generator,4,4N1,8,quarantined,hardcode
legacy:4N1:9,legacy_generator,4,4N1,9,quarantined,hardcode
legacy:4N1:10,legacy_generator,4,4N1,10,quarantined,hardcode
legacy:4N1:11,legacy_generator,4,4N1,11,live,hardcode
legacy:4N1:12,legacy_generator,4,4N1,12,quarantined,hardcode
legacy:4N2:0,legacy_generator,4,4N2,0,live,hardcode
legacy:4N2:1,legacy_generator,4,4N2,1,quarantined,hardcode
legacy:4N2:2,legacy_generator,4,4N2,2,live,hardcode
legacy:4N3:0,legacy_generator,4,4N3,0,live,hardcode
legacy:4N3:1,legacy_generator,4,4N3,1,quarantined,hardcode
legacy:4N3:2,legacy_generator,4,4N3,2,live,hardcode
legacy:4N3:3,legacy_generator,4,4N3,3,live,hardcode
legacy:4N3:4,legacy_generator,4,4N3,4,live,hardcode
legacy:4N3:5,legacy_generator,4,4N3,5,live,hardcode
legacy:4N3:6,legacy_generator,4,4N3,6,quarantined,hardcode
legacy:4N3:7,legacy_generator,4,4N3,7,live,hardcode
legacy:4N3:8,legacy_generator,4,4N3,8,live,hardcode
legacy:4N3:9,legacy_generator,4,4N3,9,live,hardcode
legacy:4N4:0,legacy_generator,4,4N4,0,quarantined,hardcode
legacy:4N4:1,legacy_generator,4,4N4,1,quarantined,hardcode
legacy:4N4:2,legacy_generator,4,4N4,2,quarantined,hardcode
legacy:4N4:3,legacy_generator,4,4N4,3,quarantined,hardcode
legacy:4N4:4,legacy_generator,4,4N4,4,quarantined,hardcode
legacy:4N4:5,legacy_generator,4,4N4,5,live,hardcode
legacy:4N5:0,legacy_generator,4,4N5,0,live,hardcode
legacy:4N5:1,legacy_generator,4,4N5,1,quarantined,hardcode
legacy:4N5:2,legacy_generator,4,4N5,2,live,hardcode
legacy:4N5:3,legacy_generator,4,4N5,3,quarantined,hardcode
legacy:4N5:4,legacy_generator,4,4N5,4,live,hardcode
legacy:4N5:5,legacy_generator,4,4N5,5,live,hardcode
legacy:4N6:0,legacy_generator,4,4N6,0,quarantined,hardcode
legacy:4N6:1,legacy_generator,4,4N6,1,quarantined,hardcode
legacy:4N6:2,legacy_generator,4,4N6,2,live,hardcode
legacy:4N6:3,legacy_generator,4,4N6,3,live,hardcode
legacy:4N78:0,legacy_generator,4,4N78,0,live,hardcode
legacy:4N78:1,legacy_generator,4,4N78,1,live,hardcode
legacy:4N78:2,legacy_generator,4,4N78,2,live,hardcode
legacy:4N78:3,legacy_generator,4,4N78,3,live,hardcode
legacy:4N78:4,legacy_generator,4,4N78,4,live,hardcode
legacy:4M1:0,legacy_generator,4,4M1,0,live,hardcode
legacy:4M1:1,legacy_generator,4,4M1,1,quarantined,hardcode
legacy:4M1:2,legacy_generator,4,4M1,2,live,hardcode
legacy:4M1:3,legacy_generator,4,4M1,3,live,hardcode
legacy:4M1:4,legacy_generator,4,4M1,4,quarantined,hardcode
legacy:4M1:5,legacy_generator,4,4M1,5,live,hardcode
legacy:4M1:6,legacy_generator,4,4M1,6,live,hardcode
legacy:4M1:7,legacy_generator,4,4M1,7,live,hardcode
legacy:4M1:8,legacy_generator,4,4M1,8,quarantined,hardcode
legacy:4M1:9,legacy_generator,4,4M1,9,quarantined,hardcode
legacy:4M1:10,legacy_generator,4,4M1,10,live,hardcode
legacy:4M1:11,legacy_generator,4,4M1,11,live,hardcode
legacy:4M2:0,legacy_generator,4,4M2,0,live,hardcode
legacy:4M2:1,legacy_generator,4,4M2,1,quarantined,hardcode
legacy:4M2:2,legacy_generator,4,4M2,2,live,hardcode
legacy:4M2:3,legacy_generator,4,4M2,3,live,hardcode
legacy:4M2:4,legacy_generator,4,4M2,4,live,hardcode
legacy:4M2:5,legacy_generator,4,4M2,5,live,hardcode
legacy:4M2:6,legacy_generator,4,4M2,6,live,hardcode
legacy:4M2:7,legacy_generator,4,4M2,7,live,hardcode
legacy:4M2:8,legacy_generator,4,4M2,8,live,hardcode
legacy:4S1:0,legacy_generator,4,4S1,0,live,hardcode
legacy:4S1:1,legacy_generator,4,4S1,1,live,hardcode
legacy:4S1:2,legacy_generator,4,4S1,2,live,hardcode
legacy:4S1:3,legacy_generator,4,4S1,3,live,hardcode
legacy:4S1:4,legacy_generator,4,4S1,4,live,hardcode
legacy:4S1:5,legacy_generator,4,4S1,5,live,hardcode
legacy:4S2:0,legacy_generator,4,4S2,0,live,hardcode
legacy:4S2:1,legacy_generator,4,4S2,1,live,hardcode
legacy:4S2:2,legacy_generator,4,4S2,2,live,hardcode
legacy:4S2:3,legacy_generator,4,4S2,3,live,hardcode
legacy:4S2:4,legacy_generator,4,4S2,4,live,hardcode
legacy:4S2:5,legacy_generator,4,4S2,5,live,hardcode
legacy:4S3:0,legacy_generator,4,4S3,0,live,hardcode
legacy:4S3:1,legacy_generator,4,4S3,1,live,hardcode
legacy:4S3:2,legacy_generator,4,4S3,2,live,hardcode
legacy:4S3:3,legacy_generator,4,4S3,3,live,hardcode
legacy:4S3:4,legacy_generator,4,4S3,4,live,hardcode
legacy:4S3:5,legacy_generator,4,4S3,5,live,hardcode
legacy:4D1:0,legacy_generator,4,4D1,0,live,hardcode
legacy:4D1:1,legacy_generator,4,4D1,1,quarantined,hardcode
legacy:5N1:0,legacy_generator,5,5N1,0,live,hardcode
legacy:5N1:1,legacy_generator,5,5N1,1,live,hardcode
legacy:5N1:2,legacy_generator,5,5N1,2,live,hardcode
legacy:5N1:3,legacy_generator,5,5N1,3,live,hardcode
legacy:5N1:4,legacy_generator,5,5N1,4,live,hardcode
legacy:5N1:5,legacy_generator,5,5N1,5,live,hardcode
legacy:5N1:6,legacy_generator,5,5N1,6,live,hardcode
legacy:5N2:0,legacy_generator,5,5N2,0,quarantined,hardcode
legacy:5N2:1,legacy_generator,5,5N2,1,live,hardcode
legacy:5N2:2,legacy_generator,5,5N2,2,quarantined,hardcode
legacy:5N2:3,legacy_generator,5,5N2,3,live,hardcode
legacy:5N2:4,legacy_generator,5,5N2,4,live,hardcode
legacy:5N2:5,legacy_generator,5,5N2,5,live,hardcode
legacy:5N2:6,legacy_generator,5,5N2,6,live,hardcode
legacy:5N2:7,legacy_generator,5,5N2,7,live,hardcode
legacy:5N2:8,legacy_generator,5,5N2,8,live,hardcode
legacy:5N3:0,legacy_generator,5,5N3,0,live,hardcode
legacy:5N3:1,legacy_generator,5,5N3,1,live,hardcode
legacy:5N3:2,legacy_generator,5,5N3,2,live,hardcode
legacy:5N3:3,legacy_generator,5,5N3,3,live,hardcode
legacy:5N3:4,legacy_generator,5,5N3,4,live,hardcode
legacy:5N4:0,legacy_generator,5,5N4,0,live,hardcode
legacy:5N4:1,legacy_generator,5,5N4,1,live,hardcode
legacy:5N4:2,legacy_generator,5,5N4,2,live,hardcode
legacy:5N4:3,legacy_generator,5,5N4,3,live,hardcode
legacy:5N4:4,legacy_generator,5,5N4,4,live,hardcode
legacy:5N4:5,legacy_generator,5,5N4,5,quarantined,hardcode
legacy:5N4:6,legacy_generator,5,5N4,6,live,hardcode
legacy:5N4:7,legacy_generator,5,5N4,7,quarantined,hardcode
legacy:5N5:0,legacy_generator,5,5N5,0,quarantined,hardcode
legacy:5N5:1,legacy_generator,5,5N5,1,live,hardcode
legacy:5N5:2,legacy_generator,5,5N5,2,live,hardcode
legacy:5A:0,legacy_generator,5,5A,0,quarantined,hardcode
legacy:5A:1,legacy_generator,5,5A,1,quarantined,hardcode
legacy:5A:2,legacy_generator,5,5A,2,quarantined,hardcode
legacy:5A:3,legacy_generator,5,5A,3,live,hardcode
legacy:5A:4,legacy_generator,5,5A,4,live,hardcode
legacy:5A:5,legacy_generator,5,5A,5,live,hardcode
legacy:5M1:0,legacy_generator,5,5M1,0,live,hardcode
legacy:5M1:1,legacy_generator,5,5M1,1,live,hardcode
legacy:5M1:2,legacy_generator,5,5M1,2,quarantined,hardcode
legacy:5M1:3,legacy_generator,5,5M1,3,live,hardcode
legacy:5M1:4,legacy_generator,5,5M1,4,live,hardcode
legacy:5M1:5,legacy_generator,5,5M1,5,quarantined,hardcode
legacy:5M1:6,legacy_generator,5,5M1,6,quarantined,hardcode
legacy:5M1:7,legacy_generator,5,5M1,7,live,hardcode
legacy:5M2:0,legacy_generator,5,5M2,0,live,hardcode
legacy:5M2:1,legacy_generator,5,5M2,1,live,hardcode
legacy:5M2:2,legacy_generator,5,5M2,2,quarantined,hardcode
legacy:5M2:3,legacy_generator,5,5M2,3,live,hardcode
legacy:5M2:4,legacy_generator,5,5M2,4,live,hardcode
legacy:5S1:0,legacy_generator,5,5S1,0,live,hardcode
legacy:5S1:1,legacy_generator,5,5S1,1,live,hardcode
legacy:5S1:2,legacy_generator,5,5S1,2,quarantined,hardcode
legacy:5S1:3,legacy_generator,5,5S1,3,live,hardcode
legacy:5S1:4,legacy_generator,5,5S1,4,live,hardcode
legacy:5S1:5,legacy_generator,5,5S1,5,live,hardcode
legacy:5S2:0,legacy_generator,5,5S2,0,live,hardcode
legacy:5S2:1,legacy_generator,5,5S2,1,live,hardcode
legacy:5S2:2,legacy_generator,5,5S2,2,live,hardcode
legacy:5S2:3,legacy_generator,5,5S2,3,live,hardcode
legacy:5S2:4,legacy_generator,5,5S2,4,live,hardcode
legacy:5S2:5,legacy_generator,5,5S2,5,live,hardcode
legacy:5D1:0,legacy_generator,5,5D1,0,live,hardcode
legacy:5D1:1,legacy_generator,5,5D1,1,live,hardcode
legacy:5D1:2,legacy_generator,5,5D1,2,quarantined,hardcode
legacy:6N1:0,legacy_generator,6,6N1,0,live,hardcode
legacy:6N1:1,legacy_generator,6,6N1,1,live,hardcode
legacy:6N1:2,legacy_generator,6,6N1,2,live,hardcode
legacy:6N1:3,legacy_generator,6,6N1,3,quarantined,hardcode
legacy:6N1:4,legacy_generator,6,6N1,4,live,hardcode
legacy:6N1:5,legacy_generator,6,6N1,5,live,hardcode
legacy:6N1:6,legacy_generator,6,6N1,6,quarantined,hardcode
legacy:6N2:0,legacy_generator,6,6N2,0,live,hardcode
legacy:6N2:1,legacy_generator,6,6N2,1,live,hardcode
legacy:6N2:2,legacy_generator,6,6N2,2,live,hardcode
legacy:6N2:3,legacy_generator,6,6N2,3,live,hardcode
legacy:6N2:4,legacy_generator,6,6N2,4,live,hardcode
legacy:6N34:0,legacy_generator,6,6N34,0,live,hardcode
legacy:6N34:1,legacy_generator,6,6N34,1,quarantined,hardcode
legacy:6N34:2,legacy_generator,6,6N34,2,live,hardcode
legacy:6N34:3,legacy_generator,6,6N34,3,live,hardcode
legacy:6N34:4,legacy_generator,6,6N34,4,live,hardcode
legacy:6N34:5,legacy_generator,6,6N34,5,live,hardcode
legacy:6N34:6,legacy_generator,6,6N34,6,live,hardcode
legacy:6N34:7,legacy_generator,6,6N34,7,live,hardcode
legacy:6A1:0,legacy_generator,6,6A1,0,quarantined,hardcode
legacy:6A1:1,legacy_generator,6,6A1,1,quarantined,hardcode
legacy:6A1:2,legacy_generator,6,6A1,2,live,hardcode
legacy:6A1:3,legacy_generator,6,6A1,3,quarantined,hardcode
legacy:6A1:4,legacy_generator,6,6A1,4,quarantined,hardcode
legacy:6M1:0,legacy_generator,6,6M1,0,quarantined,hardcode
legacy:6M1:1,legacy_generator,6,6M1,1,live,hardcode
legacy:6M1:2,legacy_generator,6,6M1,2,live,hardcode
legacy:6M2:0,legacy_generator,6,6M2,0,live,hardcode
legacy:6M2:1,legacy_generator,6,6M2,1,quarantined,hardcode
legacy:6M2:2,legacy_generator,6,6M2,2,live,hardcode
legacy:6M2:3,legacy_generator,6,6M2,3,quarantined,hardcode
legacy:6M3:0,legacy_generator,6,6M3,0,live,hardcode
legacy:6M3:1,legacy_generator,6,6M3,1,live,hardcode
legacy:6M4:0,legacy_generator,6,6M4,0,live,hardcode
legacy:6M4:1,legacy_generator,6,6M4,1,live,hardcode
legacy:6M4:2,legacy_generator,6,6M4,2,live,hardcode
legacy:6M4:3,legacy_generator,6,6M4,3,live,hardcode
legacy:6M4:4,legacy_generator,6,6M4,4,live,hardcode
legacy:6M5:0,legacy_generator,6,6M5,0,live,hardcode
legacy:6M5:1,legacy_generator,6,6M5,1,live,hardcode
legacy:6M5:2,legacy_generator,6,6M5,2,live,hardcode
legacy:6M5:3,legacy_generator,6,6M5,3,live,hardcode
legacy:6S1:0,legacy_generator,6,6S1,0,live,hardcode
legacy:6S1:1,legacy_generator,6,6S1,1,live,hardcode
legacy:6S1:2,legacy_generator,6,6S1,2,live,hardcode
legacy:6D1:0,legacy_generator,6,6D1,0,quarantined,hardcode
legacy:6D1:1,legacy_generator,6,6D1,1,quarantined,hardcode
legacy:6D1:2,legacy_generator,6,6D1,2,quarantined,hardcode
legacy:6D2:0,legacy_generator,6,6D2,0,live,hardcode
legacy:6D2:1,legacy_generator,6,6D2,1,live,hardcode
legacy:6D3:0,legacy_generator,6,6D3,0,live,hardcode
legacy:6D3:1,legacy_generator,6,6D3,1,live,hardcode
legacy:6D4:0,legacy_generator,6,6D4,0,live,hardcode
legacy:6D4:1,legacy_generator,6,6D4,1,live,hardcode
legacy:6D4:2,legacy_generator,6,6D4,2,live,hardcode
legacy:6D4:3,legacy_generator,6,6D4,3,live,hardcode
